day,cycle,name,status,risk
3,15,Individual7040,S,0.8646647167633873
4,16,Individual3912,L,0.9975212478233336
4,16,Individual8329,L,0.9975212478233336
4,16,Individual9170,L,0.9975212478233336
4,19,Individual2957,L,0.8646647167633873
5,20,Individual4948,L,0.9975212478233336
5,20,Individual2507,L,0.8646647167633873
5,20,Individual6798,L,0.9975212478233336
5,20,Individual8452,L,0.8646647167633873
5,21,Individual6157,L,0.9975212478233336
5,21,Individual2273,S,0.8646647167633873
5,23,Individual8011,L,0.8646647167633873
6,24,Individual8974,L,0.9975212478233336
6,26,Individual8098,L,0.8646647167633873
7,31,Individual3359,L,0.8646647167633873
7,31,Individual7992,L,0.9975212478233336
7,31,Individual9103,L,0.950212931632136
8,32,Individual786,L,0.9975212478233336
8,32,Individual9054,L,0.950212931632136
8,33,Individual4697,S,0.6321205588285577
8,34,Individual6901,L,0.8646647167633873
8,34,Individual6339,L,0.950212931632136
8,34,Individual3452,L,0.8646647167633873
8,35,Individual2906,L,0.8646647167633873
8,35,Individual7960,S,0.8646647167633873
8,35,Individual3308,L,0.6321205588285577
8,35,Individual573,L,0.9975212478233336
8,35,Individual7762,L,0.9975212478233336
8,35,Individual3745,L,0.6321205588285577
9,36,Individual1423,L,0.8646647167633873
9,36,Individual8773,L,0.8646647167633873
9,36,Individual2601,L,0.950212931632136
9,36,Individual8354,Ip,0.9975212478233336
9,36,Individual906,L,0.950212931632136
9,37,Individual3871,L,0.950212931632136
9,37,Individual6401,L,0.8646647167633873
9,37,Individual3054,L,0.9975212478233336
9,37,Individual292,S,0.6321205588285577
9,38,Individual5983,L,0.6321205588285577
9,38,Individual4253,L,0.6321205588285577
9,38,Individual1277,L,0.8646647167633873
9,38,Individual2430,L,0.6321205588285577
9,39,Individual1636,L,0.9975212478233336
10,40,Individual2164,L,0.9975212478233336
10,40,Individual989,L,0.8646647167633873
10,40,Individual9153,L,0.9975212478233336
10,40,Individual2904,L,0.8646647167633873
10,41,Individual253,L,0.6321205588285577
10,41,Individual48,L,0.8646647167633873
10,41,Individual3154,S,0.8646647167633873
10,42,Individual5360,L,0.8646647167633873
10,42,Individual7871,S,0.6321205588285577
10,42,Individual6389,L,0.950212931632136
10,42,Individual1684,L,0.950212931632136
10,42,Individual3358,L,0.9975212478233336
10,42,Individual4941,L,0.9975212478233336
10,42,Individual899,S,0.6321205588285577
10,42,Individual2956,L,0.950212931632136
10,43,Individual4461,L,0.9975212478233336
10,43,Individual1187,L,0.9975212478233336
10,43,Individual6663,L,0.950212931632136
10,43,Individual7955,S,0.6321205588285577
10,43,Individual3219,L,0.9975212478233336
10,43,Individual3612,L,0.6321205588285577
11,44,Individual6200,L,0.8646647167633873
11,44,Individual2380,L,0.8646647167633873
11,44,Individual6588,S,0.8646647167633873
11,44,Individual4371,L,0.6321205588285577
11,44,Individual7618,L,0.6321205588285577
11,44,Individual5867,L,0.6321205588285577
11,44,Individual7145,L,0.9975212478233336
11,45,Individual7307,L,0.9975212478233336
11,45,Individual2662,L,0.6321205588285577
11,45,Individual3579,L,0.9975212478233336
11,45,Individual99,L,0.950212931632136
11,45,Individual8918,L,0.8646647167633873
11,45,Individual4671,L,0.8646647167633873
11,46,Individual711,L,0.9975212478233336
11,46,Individual7260,L,0.8646647167633873
11,46,Individual1300,Ia,0.9975212478233336
11,46,Individual5470,L,0.9975212478233336
11,46,Individual2004,S,0.8646647167633873
11,46,Individual118,L,0.8646647167633873
11,46,Individual4623,L,0.8646647167633873
11,46,Individual2705,S,0.8646647167633873
11,46,Individual6575,L,0.8646647167633873
11,47,Individual2395,Ip,0.8646647167633873
11,47,Individual842,L,0.8646647167633873
11,47,Individual3644,L,0.9975212478233336
11,47,Individual1433,L,0.9975212478233336
11,47,Individual2962,L,0.9975212478233336
11,47,Individual1878,S,0.6321205588285577
11,47,Individual8083,L,0.950212931632136
11,47,Individual4067,L,0.6321205588285577
11,47,Individual8079,S,0.6321205588285577
11,47,Individual3630,L,0.8646647167633873
11,47,Individual4528,L,0.8646647167633873
11,47,Individual7829,L,0.950212931632136
11,47,Individual2739,L,0.8646647167633873
11,47,Individual3999,L,0.950212931632136
11,47,Individual3715,L,0.9975212478233336
11,47,Individual1238,L,0.950212931632136
11,47,Individual2625,L,0.9975212478233336
11,47,Individual7981,L,0.9975212478233336
11,47,Individual6682,L,0.9975212478233336
11,47,Individual9039,S,0.6321205588285577
12,48,Individual8489,L,0.950212931632136
12,48,Individual707,L,0.8646647167633873
12,48,Individual4061,L,0.9975212478233336
12,48,Individual6672,L,0.950212931632136
12,48,Individual8039,L,0.9975212478233336
12,48,Individual4148,L,0.8646647167633873
12,48,Individual2249,L,0.6321205588285577
12,48,Individual572,L,0.9975212478233336
12,48,Individual4834,L,0.8646647167633873
12,48,Individual6152,L,0.6321205588285577
12,48,Individual3519,L,0.9975212478233336
12,48,Individual569,L,0.950212931632136
12,48,Individual6443,L,0.8646647167633873
12,48,Individual2823,L,0.8646647167633873
12,48,Individual865,L,0.9975212478233336
12,48,Individual5510,L,0.9975212478233336
12,48,Individual8763,L,0.8646647167633873
12,48,Individual1653,L,0.9975212478233336
12,48,Individual5704,L,0.950212931632136
12,49,Individual2975,L,0.8646647167633873
12,49,Individual2424,L,0.8646647167633873
12,49,Individual7828,L,0.950212931632136
12,49,Individual6909,L,0.8646647167633873
12,49,Individual272,L,0.8646647167633873
12,49,Individual7461,L,0.950212931632136
12,49,Individual6893,L,0.9975212478233336
12,49,Individual7356,L,0.950212931632136
12,49,Individual820,L,0.8646647167633873
12,49,Individual1638,L,0.9975212478233336
12,49,Individual192,L,0.8646647167633873
12,49,Individual3909,L,0.9975212478233336
12,49,Individual2981,L,0.9975212478233336
12,49,Individual5100,L,0.8646647167633873
12,49,Individual6495,L,0.950212931632136
12,49,Individual6061,L,0.9975212478233336
12,49,Individual434,S,0.6321205588285577
12,49,Individual352,S,0.950212931632136
12,50,Individual6846,S,0.6321205588285577
12,50,Individual9093,L,0.9975212478233336
