day,cycle,susceptible,latent,infected,recovered,dead
0,0,9195,10,0,0,0
0,1,9195,10,0,0,0
0,2,9195,10,0,0,0
0,3,9195,10,0,0,0
1,4,9195,10,0,0,0
1,5,9195,10,0,0,0
1,6,9195,10,0,0,0
1,7,9195,10,0,0,0
2,8,9195,9,1,0,0
2,9,9195,9,1,0,0
2,10,9195,8,2,0,0
2,11,9195,8,2,0,0
3,12,9195,7,3,0,0
3,13,9195,7,3,0,0
3,14,9195,7,3,0,0
3,15,9195,6,4,0,0
4,16,9194,6,5,0,0
4,17,9194,6,5,0,0
4,18,9194,5,6,0,0
4,19,9194,5,6,0,0
5,20,9194,5,6,0,0
5,21,9194,4,7,0,0
5,22,9193,5,7,0,0
5,23,9192,6,7,0,0
6,24,9191,6,8,0,0
6,25,9190,6,9,0,0
6,26,9189,7,9,0,0
6,27,9188,8,9,0,0
7,28,9187,9,9,0,0
7,29,9185,10,10,0,0
7,30,9183,12,10,0,0
7,31,9182,13,10,0,0
8,32,9180,15,10,0,0
8,33,9180,14,11,0,0
8,34,9179,15,11,0,0
8,35,9175,18,12,0,0
9,36,9173,18,14,0,0
9,37,9172,19,14,0,0
9,38,9167,24,14,0,0
9,39,9162,29,14,0,0
10,40,9152,37,16,0,0
10,41,9145,43,17,0,0
10,42,9138,49,18,0,0
10,43,9132,53,20,0,0
11,44,9126,59,20,0,0
11,45,9123,62,20,0,0
11,46,9113,71,21,0,0
11,47,9109,72,24,0,0
12,48,9101,80,24,0,0
12,49,9093,87,25,0,0
12,50,9086,92,27,0,0
12,51,9075,100,30,0,0
13,52,9061,110,34,0,0
13,53,9049,120,36,0,0
13,54,9043,122,40,0,0
13,55,9029,134,42,0,0
14,56,9027,130,48,0,0
14,57,9019,131,55,0,0
14,58,9007,138,60,0,0
14,59,8993,149,63,0,0
15,60,8974,163,68,0,0
15,61,8953,179,73,0,0
15,62,8925,203,77,0,0
15,63,8896,228,81,0,0
16,64,8869,250,86,0,0
16,65,8840,276,89,0,0
16,66,8810,301,94,0,0
16,67,8770,335,100,0,0
17,68,8723,376,106,0,0
17,69,8689,399,117,0,0
17,70,8639,441,125,0,0
17,71,8585,480,140,0,0
18,72,8522,534,149,0,0
18,73,8480,558,167,0,0
18,74,8416,604,185,0,0
18,75,8337,659,208,1,0
19,76,8250,719,235,1,0
19,77,8187,768,249,1,0
19,78,8103,832,269,1,0
19,79,8013,902,289,1,0
20,80,7907,984,313,1,0
20,81,7817,1049,337,2,0
20,82,7729,1117,357,2,0
20,83,7647,1166,390,2,0
21,84,7580,1200,423,2,0
21,85,7534,1206,463,2,0
21,86,7486,1211,506,2,0
21,87,7374,1281,548,2,0
22,88,7214,1384,605,2,0
22,89,7111,1435,657,2,0
22,90,6968,1530,705,2,0
22,91,6805,1636,760,4,0
23,92,6614,1782,805,4,0
23,93,6482,1859,860,4,0
23,94,6327,1963,911,4,0
23,95,6124,2111,965,5,0
24,96,5899,2271,1030,5,0
24,97,5756,2360,1084,5,0
24,98,5634,2410,1156,5,0
24,99,5452,2506,1242,5,0
25,100,5260,2614,1326,5,0
