day,cycle,contact_name,contact_covariate_X,individual_name,individual_covariate_Y,latent_time,infectious_time,serial_interval,time_before_hospitalisation
2,10,Individual1516,1.0,Individual2520,1.0,1.6928231541482792,9.236499260869492,3.98996231085084,0.0
3,12,Individual9195,0.0,Individual2520,1.0,1.6928231541482792,9.236499260869492,3.98996231085084,0.0
3,12,Individual6576,0.0,Individual2520,1.0,1.6928231541482792,9.236499260869492,3.98996231085084,0.0
3,12,Individual1458,0.0,Individual2520,1.0,1.6928231541482792,9.236499260869492,3.98996231085084,0.0
3,12,Individual4653,0.0,Individual6714,0.0,2.5427242227764304,24.70818096177911,5.384981005231711,0.0
3,13,Individual3007,1.0,Individual2520,1.0,1.6928231541482792,9.236499260869492,3.98996231085084,0.0
3,13,Individual1694,0.0,Individual2520,1.0,1.6928231541482792,9.236499260869492,3.98996231085084,0.0
3,13,Individual4594,0.0,Individual2520,1.0,1.6928231541482792,9.236499260869492,3.98996231085084,0.0
3,13,Individual3534,0.0,Individual6714,0.0,2.5427242227764304,24.70818096177911,5.384981005231711,0.0
3,15,Individual8898,0.0,Individual2520,1.0,1.6928231541482792,9.236499260869492,3.98996231085084,0.0
4,16,Individual2173,1.0,Individual8377,1.0,3.671220338210727,22.94810073231164,7.285610471508306,0.0
4,16,Individual8467,1.0,Individual6714,0.0,2.5427242227764304,24.70818096177911,5.384981005231711,0.0
4,16,Individual8695,0.0,Individual6714,0.0,2.5427242227764304,24.70818096177911,5.384981005231711,0.0
4,17,Individual4455,1.0,Individual6714,0.0,2.5427242227764304,24.70818096177911,5.384981005231711,0.0
4,17,Individual5456,0.0,Individual3628,1.0,2.507667912012803,35.91540869710728,5.023556405144238,0.0
4,18,Individual8735,1.0,Individual6714,0.0,2.5427242227764304,24.70818096177911,5.384981005231711,0.0
4,19,Individual3421,1.0,Individual6714,0.0,2.5427242227764304,24.70818096177911,5.384981005231711,0.0
5,20,Individual1809,0.0,Individual2520,1.0,1.6928231541482792,9.236499260869492,3.98996231085084,0.0
5,20,Individual3914,1.0,Individual6714,0.0,2.5427242227764304,24.70818096177911,5.384981005231711,0.0
5,21,Individual6740,1.0,Individual8377,1.0,3.671220338210727,22.94810073231164,7.285610471508306,0.0
